start_station_id,end_station_id,count
64,48,373
64,49,456
64,50,1266
64,51,257
64,54,198
64,55,917
64,56,219
64,57,425
64,58,84
64,59,111
64,60,224
64,61,297
64,62,417
64,63,915
64,64,435
64,65,642
64,66,142
64,67,223
64,68,424
64,69,1283
64,70,1785
64,71,257
64,72,164
64,73,136
64,74,502
64,75,317
64,76,579
64,77,3627
64,82,101
65,39,713
65,41,88
65,42,114
65,45,139
65,46,59
65,47,382
65,48,148
65,49,515
65,50,1449
65,51,283
65,54,257
65,55,1234
65,56,179
65,57,435
65,58,88
65,59,378
65,60,123
65,61,891
65,62,449
65,63,362
65,64,286
65,65,425
65,66,680
65,67,565
65,68,279
65,69,3495
65,70,5041
65,71,169
65,72,2698
65,73,85
65,74,421
65,75,80
65,76,560
65,77,573
65,82,81
66,39,1138
66,41,114
66,42,97
66,45,190
66,46,121
66,47,447
66,48,124
66,49,165
66,50,244
66,51,166
66,54,50
66,55,533
66,56,344
66,57,310
66,58,159
66,59,223
66,60,230
66,61,157
66,62,111
66,63,243
66,64,294
66,65,575
66,66,368
66,67,288
66,68,176
66,69,784
66,70,1155
66,71,133
66,72,1258
66,73,95
66,74,258
66,75,333
66,76,846
66,77,1120
66,82,30
67,39,1732
67,41,97
67,42,170
67,45,157
67,46,275
67,47,604
67,48,127
67,49,178
67,50,426
67,51,65
67,54,64
67,55,339
67,56,396
67,57,501
67,58,107
67,59,185
67,60,191
67,61,195
67,62,272
67,63,219
67,64,340
67,65,831
67,66,251
67,67,666
67,68,630
67,69,2083
67,70,3190
67,71,376
67,72,836
67,73,189
67,74,534
67,75,455
67,76,2540
67,77,1006
67,82,45
68,39,279
68,41,130
68,42,32
68,45,354
68,46,142
68,47,180
68,48,94
68,49,229
68,50,611
68,51,141
68,54,153
68,55,224
68,56,137
68,57,505
68,58,61
68,59,102
68,60,247
68,61,316
68,62,110
68,63,83
68,64,411
68,65,437
68,66,271
68,67,615
68,68,328
68,69,1221
68,70,2094
68,71,174
68,72,218
68,73,212
68,74,437
68,75,104
68,76,162
68,77,380
68,82,57
69,39,3438
69,41,271
69,42,454
69,45,318
69,46,336
69,47,457
69,48,397
69,49,356
69,50,1434
69,51,1406
69,54,227
69,55,1192
69,56,469
69,57,3005
69,58,192
69,59,487
69,60,355
69,61,534
69,62,668
69,63,1240
69,64,619
69,65,6216
69,66,739
69,67,2230
69,68,865
69,69,421
69,70,138
69,71,252
69,72,853
69,73,72
69,74,1098
69,75,483
69,76,711
69,77,1300
69,82,507
70,39,1406
70,41,1294
70,42,1700
70,45,794
70,46,317
70,47,755
70,48,1288
70,49,1216
70,50,3622
70,51,3031
70,54,1678
70,55,3510
70,56,1172
70,57,1262
70,58,181
70,59,404
70,60,1494
70,61,1690
70,62,1313
70,63,2168
70,64,1130
70,65,2320
70,66,749
70,67,1579
70,68,2097
70,69,108
70,70,533
70,71,362
70,72,708
70,73,442
70,74,2866
70,75,1156
70,76,1151
70,77,2598
70,82,996
71,39,329
71,41,175
71,42,413
71,45,225
71,46,383
71,47,293
71,48,154
71,49,140
71,50,566
71,51,98
71,54,85
71,55,171
71,56,337
71,57,269
